Work Item ID,Issue Type,Summary,Description,Parent,Labels,Priority
CS-047,Story,TAV-CUS-BAS-003 Customer removes basket item,"Implements Action Story TAV-CUS-BAS-003.

Trigger
Customer taps trash icon OR swipes left on item

Immediate UI Reaction
Confirmation prompt (optional): Remove Margherita Pizza? Cancel | Remove

System Action
Customer confirms removal
Item removed from basket
Totals recalculated: Subtotal, tax, total
Basket count badge decreases
Undo option shown for 5 seconds: Item removed [Undo]
If undo tapped: Item restored
Basket updates immediately
Empty basket shows empty state message

Effects on Other Actors
System:
• Updates basket state
• Recalculates totals

Failure States
• Removal fails → Retry → Force remove
• Undo window expired → Manual re-add required",CE-005,"action:TAV-CUS-BAS-003,customer,basket",Medium
CS-048,Story,TAV-CUS-BAS-004 Customer joins shared basket,"Implements Action Story TAV-CUS-BAS-004.

Trigger
Customer scans QR at table with existing session

Immediate UI Reaction
Join prompt displayed: Join Table 5 order? 2 items. Join Group Order | Start New Order

System Action
Customer taps Join Group Order
Added to shared session (linked to table ID)
Loads shared basket with all group items
Attribution shown: Item added by Anna, Item added by You
Customer adds items (visible to all in real-time)
Real-time sync via WebSocket/polling
Updates when others add/edit/remove
Permissions: View all, edit only own items
Shared basket icon in header

Effects on Other Actors
Other Customers:
• See new participant join
• View their additions in real-time

System:
• Links session to shared basket
• Syncs real-time updates

Failure States
• Session detection fails → Prompt manual join → Table number entry
• Real-time sync fails → Show last known state → Manual refresh",CE-005,"action:TAV-CUS-BAS-004,customer,basket",Medium
CS-049,Story,TAV-CUS-BAS-005 Customer sees shared basket real-time updates,"Implements Action Story TAV-CUS-BAS-005.

Trigger
Another customer in shared session adds/edits/removes item

Immediate UI Reaction
Customer A's view updates in real-time without refresh

System Action
Customer B adds item
System broadcasts via WebSocket
Customer A receives update <2s
View updates automatically
New item appears with animation: New item added by Sarah
Totals recalculate
Optional notification: Basket updated
Customer B edits/removes: A sees immediately
Conflict resolution: Last-write-wins OR optimistic locking
Sync status indicator: Synced | Syncing...
All customers see consistent state

Effects on Other Actors
System:
• Broadcasts updates to all session participants
• Manages conflict resolution

Failure States
• WebSocket connection lost → Fall back to polling → Manual refresh
• Sync conflict → Show warning → Resolve manually",CE-005,"action:TAV-CUS-BAS-005,customer,basket",Medium
CS-050,Story,TAV-CUS-BAS-006 Customer sees basket validation errors,"Implements Action Story TAV-CUS-BAS-006.

Trigger
Restaurant updates menu (out-of-stock OR price change)

Immediate UI Reaction
Error banner appears: Some items need attention

System Action
System validates basket on view and before checkout
Detects errors: Item unavailable, price changed, modification unavailable
Flags items with error icon and message
Opens basket to show flagged items
Unavailable item: Red border, message: Margherita Pizza is currently unavailable
Suggests action: Remove | Wait
Price change: Price updated €10.00 → €12.00 [Accept New Price]
Must resolve all errors before checkout
Customer resolves (removes unavailable OR accepts price changes)
Re-validates automatically
Error banner disappears when resolved
Checkout enabled

Effects on Other Actors
Vendor:
• Menu changes trigger customer notifications

System:
• Validates basket against current menu

Failure States
• Validation fails → Manual check → Contact restaurant
• Grace period (15 min) before auto-remove unavailable items",CE-005,"action:TAV-CUS-BAS-006,customer,basket",Medium
CS-051,Story,TAV-CUS-BAS-007 Customer proceeds to checkout,"Implements Action Story TAV-CUS-BAS-007.

Trigger
Customer taps Proceed to Checkout

Immediate UI Reaction
Validation check initiated

System Action
Reviews basket summary: Subtotal, service charge, tax/VAT, total
Validates basket: All items available, no errors, not empty
Guest user: Shows auth options (Sign In | Sign Up | Continue as Guest)
Authenticated user: Proceeds directly to checkout
Navigates to checkout page
Order summary displayed
Payment method selection shown
Basket locked (shared basket: prevents changes during checkout)

Effects on Other Actors
System:
• Locks basket for checkout
• Validates all items

Failure States
• Empty basket → Disable checkout → Add items message
• Validation errors → Show errors → Resolve before proceeding
• Guest auth required → Prompt login/signup → Continue as guest option",CE-005,"action:TAV-CUS-BAS-007,customer,basket",High
CS-052,Story,TAV-CUS-BAS-008 Customer applies promo code at checkout,"Implements Action Story TAV-CUS-BAS-008.

Trigger
Customer taps promo code field at checkout

Immediate UI Reaction
Promo code input field expands

System Action
Customer enters promo code (TAVLO20)
Taps Apply
System validates:
• Code exists
• Not expired
• Not already used
• Minimum order requirement met
• Applicable to items in basket

Valid code:
• Applies discount (20% off entire order OR €10 off OR free delivery)
• Updates order summary: Subtotal, Promo discount: -€9.10, Tax, Total
• Success message: Promo code TAVLO20 applied! You saved €9.10

Invalid code:
• Error message: Invalid promo code OR Promo code expired OR Minimum order €30 required

Customer can remove promo code
Discount reflected in final total
Promo code saved with order

Effects on Other Actors
Vendor:
• Promo code usage tracked
• Revenue adjusted for discount

System:
• Validates and applies promo code
• Logs usage

Failure States
• Invalid code → Clear error message → Retry
• Minimum not met → Show required amount → Add items
• Network error → Retry → Manual verification",CE-005,"action:TAV-CUS-BAS-008,customer,basket",Medium
CS-053,Story,TAV-CUS-BAS-009 Customer sees basket suggestions (upsell),"Implements Action Story TAV-CUS-BAS-009.

Trigger
Customer views basket with items

Immediate UI Reaction
Suggestions section appears below basket items

System Action
Analyzes basket contents
Generates upsell suggestions: Frequently bought together: Add Garlic Bread for €3.50 OR Complete your meal: Add Dessert
Maximum 3 suggestions shown
Each suggestion: Photo, name, price, quick add button
Customer reviews suggestions
Taps Add to Basket on suggestion
Item added to basket instantly
Basket updates with new item
Suggestions refresh (remove added, show new)
Customer can dismiss suggestions
Tracks performance: Impressions, clicks, conversions

Effects on Other Actors
System:
• Tracks upsell performance
• Updates recommendation algorithm

Failure States
• Suggestions fail to load → Hide section → Show popular items",CE-005,"action:TAV-CUS-BAS-009,customer,basket",Low
CS-054,Story,TAV-CUS-BAS-010 Customer saves basket for later,"Implements Action Story TAV-CUS-BAS-010.

Trigger
Customer taps Save Basket for Later

Immediate UI Reaction
Confirmation shown: Basket saved! You can continue ordering later.

System Action
Saves current basket state (all items with configurations)
Basket remains visible but marked as saved
Customer can continue browsing or close session
Return later (same or new session)
System prompts: You have a saved basket. Restore it?
Customer chooses to restore
All items restored with original configurations
Validates items: Still available, prices current
Valid items: Basket restored successfully
Invalid items: Show validation errors
Proceed to checkout or continue shopping

Effects on Other Actors
System:
• Stores basket state persistently
• Validates on restoration

Failure States
• Save fails → Retry → Manual note-taking
• Restoration validation fails → Show unavailable items → Partial restore",CE-005,"action:TAV-CUS-BAS-010,customer,basket",Low
CS-055,Story,TAV-CUS-BAS-011 Customer sees minimum order warning,"Implements Action Story TAV-CUS-BAS-011.

Trigger
Customer adds items to basket below minimum order value

Immediate UI Reaction
Minimum order warning appears in basket

System Action
Restaurant has minimum order requirement (e.g., €15)
Basket value below minimum (Current: €12, Minimum: €15)
Warning displayed: Minimum order €15 required. Add €3 more to checkout.
Warning visible at bottom of basket OR as banner
Checkout button disabled until minimum reached
Customer adds more items
Basket value updates in real-time
Basket >= minimum: Warning disappears, checkout enabled
Basket < minimum: Warning persists, checkout disabled

Effects on Other Actors
Vendor:
• Minimum order policy enforced

System:
• Validates basket against minimum order

Failure States
• Minimum not clearly communicated → Show policy → Link to restaurant info",CE-005,"action:TAV-CUS-BAS-011,customer,basket",Low
CS-056,Story,TAV-CUS-PAY-001 Customer selects payment method,"Implements Action Story TAV-CUS-PAY-001.

Trigger
Customer reaches payment step at checkout

Immediate UI Reaction
Payment methods displayed with icons and descriptions

System Action
Options shown: Card (Stripe), Cash (at restaurant), Loyalty Points (if sufficient), Split Payment
Customer taps payment method (e.g., Card Payment)
Selection highlighted
Relevant form displayed:
• Card: Stripe card input form
• Cash: Confirmation with table number
• Loyalty: Balance and redemption calculator
• Split: Split options
Validates selection
Proceeds to payment processing
Saves payment method with order

Effects on Other Actors
System:
• Records payment method choice

Failure States
• Payment method unavailable → Show available methods → Alternative selection",CE-006,"action:TAV-CUS-PAY-001,customer,payment",High
CS-057,Story,TAV-CUS-PAY-002 Customer pays by card via Stripe,"Implements Action Story TAV-CUS-PAY-002.

Trigger
Customer selects Card Payment

Immediate UI Reaction
Stripe payment form displayed

System Action
Fields: Card number, Expiry (MM/YY), CVC, Name, Postal code
Real-time validation
Card type detection (Visa, Mastercard, etc.)
Save card checkbox (authenticated users)
Customer reviews total
Taps Pay €45.50
Validates all fields
Creates Stripe payment intent
Processes payment via Stripe API
3D Secure required: Redirects to bank verification
Customer completes verification
Payment confirmed by Stripe
Creates order with Paid status
Sends order to kitchen
Payment success screen displayed
Confirmation email/SMS sent <1min

Effects on Other Actors
Vendor:
• Order appears in kitchen queue
• Payment recorded in vendor dashboard

System:
• Creates order record
• Processes payment through Stripe
• Sends confirmations

Failure States
• Payment declined → Show error → Retry options (TAV-CUS-PAY-008)
• 3D Secure failed → Return to TAVLO → Retry (TAV-CUS-PAY-009)
• Network error → Retry → Contact support",CE-006,"action:TAV-CUS-PAY-002,customer,payment",High
CS-058,Story,TAV-CUS-PAY-003 Customer pays by cash at restaurant,"Implements Action Story TAV-CUS-PAY-003.

Trigger
Customer selects Cash Payment

Immediate UI Reaction
Cash payment confirmation displayed

System Action
Validates dine-in (cash not available for takeaway)
Shows confirmation: You will pay €45.50 in cash, Order sent immediately, Have cash ready
Table number displayed (Table 5)
Customer taps Confirm Order
Creates order with Pending Payment status
Sends order to kitchen (preparation starts)
Order confirmation shown: Order placed, Table 5, Total: €45.50, Payment: Cash, Prep time: 20 min
Waiter delivers food
Customer pays cash to waiter
Waiter marks Paid in vendor dashboard
Order status updated to Paid
Payment receipt generated

Effects on Other Actors
Vendor:
• Kitchen starts preparation before payment
• Waiter marks payment when received

System:
• Creates order with Pending Payment status
• Updates to Paid when waiter confirms

Failure States
• Takeaway order → Prevent cash option → Card/loyalty only
• Payment not received → Waiter follows up → Manual resolution",CE-006,"action:TAV-CUS-PAY-003,customer,payment",High
CS-059,Story,TAV-CUS-PAY-004 Customer redeems loyalty points,"Implements Action Story TAV-CUS-PAY-004.

Trigger
Customer has sufficient loyalty points at checkout

Immediate UI Reaction
Loyalty Points payment option displayed

System Action
Shows points balance: 5000 points - €50.00 value
Order total: €45.50
Redemption calculation: Redeem 4550 points → €45.50, Remaining: 450 points
Customer selects Loyalty Points
Taps Pay with Points
Validates sufficient balance
Deducts points: 5000 - 4550 = 450
Creates order with Paid status
Sends order to kitchen
Logs loyalty transaction: Points redeemed for order #12345
Success screen shows new balance: 450 points
Sends confirmation

Effects on Other Actors
System:
• Deducts loyalty points
• Logs redemption transaction

Failure States
• Insufficient points → Show required amount → Partial redemption option
• Points calculation error → Retry → Manual verification",CE-006,"action:TAV-CUS-PAY-004,customer,payment",Medium
CS-060,Story,TAV-CUS-PAY-005 Customer splits payment,"Implements Action Story TAV-CUS-PAY-005.

Trigger
Customer in shared basket selects Split Payment

Immediate UI Reaction
Split payment options displayed

System Action
Options: Split Equally (divide by # people), Split by Item (each pays their items), Custom Split (manual amounts)
Customer chooses Split by Item
Items grouped by person: Anna: €25.00, You: €15.50, Michael: €18.00
Your portion displayed: €15.50
Payment requests sent to all group members
Customer pays their portion (card OR loyalty)
Portion marked Paid
Payment status visible: Anna: Paid, You: Paid, Michael: Pending
All portions paid: Order sent to kitchen
Success message: Your portion paid. Waiting for others... OR All payments complete! Order sent.
Individual receipts generated for each portion

Effects on Other Actors
Other Customers:
• Receive payment request notifications
• See real-time payment status

Vendor:
• Order appears in kitchen when all portions paid

System:
• Manages split payment coordination
• Sends order when complete

Failure States
• Timeout (not all pay) → Admin can manually complete → Partial order option
• Payment fails for one person → They retry → Others wait",CE-006,"action:TAV-CUS-PAY-005,customer,payment",Medium
CS-061,Story,TAV-CUS-PAY-006 Customer receives Austrian VAT invoice,"Implements Action Story TAV-CUS-PAY-006.

Trigger
Customer completes payment

Immediate UI Reaction
Invoice generation initiated immediately

System Action
Generates Austrian VAT-compliant invoice
Invoice includes:
• Restaurant legal name, address, VAT number (UID)
• Invoice number (unique, sequential)
• Invoice date and time
• Customer name (if provided)
• Itemized list: Dishes, quantities, prices
• Subtotal
• VAT breakdown by rate: 10%/13%/20%
• Total amount
• Payment method
• Table number (if dine-in)
Displays on payment success screen
View immediately option
Sends via email with PDF attached
Downloadable PDF
Accessible from order history anytime
Stored permanently (7 years - Austrian tax law)

Effects on Other Actors
System:
• Generates compliant invoice
• Stores for required retention period

Failure States
• Invoice generation fails → Retry → Manual request option
• Email fails → Retry → Download from order history",CE-006,"action:TAV-CUS-PAY-006,customer,payment",High
CS-062,Story,TAV-CUS-PAY-007 Customer views payment summary before confirming,"Implements Action Story TAV-CUS-PAY-007.

Trigger
Customer proceeds to final payment step

Immediate UI Reaction
Comprehensive payment summary displayed

System Action
Shows:
• Order details: Restaurant name, table/pickup info, dining mode
• Itemized list: Each dish with quantity, modifications, price
• Subtotal (sum of all items)
• Service charge if applicable (10% for dine-in)
• Tax/VAT breakdown by rate: Reduced 10%: €2.00, Standard 20%: €3.50
• Promo discount if applied (-€9.10)
• Delivery fee if applicable
• Total amount (highlighted, large font)
• Payment method: Card ending in 1234 OR Cash at restaurant OR Loyalty Points
• Special instructions summary if any
Customer reviews all details
Taps Confirm & Pay
Proceeds to payment processing

Failure States
• Summary mismatch → Recalculate → Show updated totals
• Loading error → Retry → Show cached summary",CE-006,"action:TAV-CUS-PAY-007,customer,payment",Medium
CS-063,Story,TAV-CUS-PAY-008 Customer handles failed payment,"Implements Action Story TAV-CUS-PAY-008.

Trigger
Payment processing fails

Immediate UI Reaction
Payment error screen displayed

System Action
Payment fails: Insufficient funds OR Card declined OR Network error OR 3D Secure failed
System receives failure notification
STOPS order creation (does not send to kitchen)
Displays clear error message: Payment failed: Card declined. Please try another payment method.
Shows failure reason: Insufficient funds OR Card declined by bank OR Network error occurred
Provides retry options:
• Try again with same card
• Use different card
• Use different payment method: Cash OR Loyalty Points
Customer selects retry option:
• Same card: Re-enter CVV and retry
• Different card: New card form
• Different method: Navigate to method selection
Customer retries payment
Success: Creates order and proceeds
Fail again: Shows error with support contact
System logs all payment attempts for troubleshooting

Effects on Other Actors
System:
• Logs failed payment attempts
• Prevents duplicate orders

Failure States
• Multiple failures → Escalate to support → Manual payment verification",CE-006,"action:TAV-CUS-PAY-008,customer,payment",High
CS-064,Story,TAV-CUS-PAY-009 Customer verifies payment with 3D Secure,"Implements Action Story TAV-CUS-PAY-009.

Trigger
Bank requires 3D Secure verification for payment

Immediate UI Reaction
Redirect to bank authentication page

System Action
Submits card payment
Stripe creates payment intent
Bank requires 3D Secure verification
Redirects to bank authentication page
Customer sees bank 3D Secure screen: Verify your payment: €45.50 to TAVLO Restaurant
Customer enters verification:
• SMS OTP OR
• Banking app approval OR
• Fingerprint biometric
Submits verification
Bank validates authentication
Verification success: Bank approves payment
Verification failed: Bank declines payment
System receives verification result
Success path:
• Redirects back to TAVLO
• Completes payment
• Creates order
• Shows success screen
Failed path:
• Redirects back to TAVLO
• Shows error: 3D Secure verification failed
• Provides retry options
Payment secured with 3D Secure authentication (SCA compliant)

Effects on Other Actors
System:
• Manages 3DS redirect and callback
• Completes order on success

Failure States
• Customer abandons verification → Timeout → Return to payment
• Verification fails → Return with error → Retry options",CE-006,"action:TAV-CUS-PAY-009,customer,payment",High
CS-065,Story,TAV-CUS-ORD-001 Customer views order status,"Implements Action Story TAV-CUS-ORD-001.

Trigger
Customer places order

Immediate UI Reaction
Order confirmation screen displayed

System Action
Shows order number (Order #12345)
Status timeline: Received → Preparing → Ready
Highlights current status (Preparing)
Estimated time: Ready in 15-20 min
Progress bar/timeline visualization
Itemized order summary
Accessible from: Menu, Account, SMS/Email link
Tap View Order Status for real-time updates

Effects on Other Actors
Vendor:
• Order appears in kitchen dashboard

System:
• Creates order tracking record

Failure States
• Status tracking fails → Show last known status → Manual refresh",CE-007,"action:TAV-CUS-ORD-001,customer,tracking",High
CS-066,Story,TAV-CUS-ORD-002 Customer receives real-time order updates,"Implements Action Story TAV-CUS-ORD-002.

Trigger
Kitchen updates order status

Immediate UI Reaction
Customer's order status updates in real-time

System Action
Kitchen updates status (Received → Preparing)
System broadcasts via WebSocket/push notification
Customer device receives update <5s
Status screen updates automatically (no manual refresh)
Status animation: Received ✓ → Preparing (pulsing icon)
Push notification/SMS sent: Your order is now being prepared
Estimated time updated if changed
Status change logged with timestamp
All statuses tracked: Received → Preparing → Ready → Delivered/Completed

Effects on Other Actors
Vendor:
• Status changes in kitchen reflect immediately for customer

System:
• Broadcasts real-time updates
• Manages WebSocket connections

Failure States
• WebSocket disconnected → Fall back to polling → Manual refresh
• Update delayed → Show last known status → Retry",CE-007,"action:TAV-CUS-ORD-002,customer,tracking",High
CS-067,Story,TAV-CUS-ORD-003 Customer calls waiter,"Implements Action Story TAV-CUS-ORD-003.

Trigger
Customer taps Call Waiter button

Immediate UI Reaction
Waiter request options displayed

System Action
Options: Need assistance, Request bill, Request water, Request utensils, Other
Customer selects reason (e.g., Request bill)
Optional note field: Table 5 needs the bill please
Sends request
Notification sent to restaurant: Table number, request type, note, timestamp
Customer confirmation: Waiter notified. Someone will assist you shortly.
Waiter sees notification in vendor dashboard (alert sound/vibration)
Waiter acknowledges in dashboard
Customer sees: Waiter is on the way
Waiter arrives and assists
Waiter marks request completed in dashboard
Request closed

Effects on Other Actors
Vendor:
• Waiter receives immediate notification with alert
• Can acknowledge and track requests

System:
• Logs waiter call events
• Tracks response times

Failure States
• Notification fails → Retry → Call restaurant directly
• Waiter doesn't respond → Escalate after timeout → Manager notified
• Dine-in only (not available for takeaway)",CE-007,"action:TAV-CUS-ORD-003,customer,tracking",Medium
CS-068,Story,TAV-CUS-ORD-004 Customer cancels order,"Implements Action Story TAV-CUS-ORD-004.

Trigger
Customer views active order and taps Cancel Order

Immediate UI Reaction
Cancellation confirmation modal displayed

System Action
Cancel Order button only visible if status: Received (not Preparing or later)
Confirmation modal: Are you sure? Order #12345 - €45.50. Policy: Free before preparation. No refund once preparing. Cancel Order | Keep Order
Customer taps Cancel (confirm)
System validates order status (not Preparing)
Cancels order (status: Cancelled)
Processes refund if paid:
• Card payment: Stripe refund initiated
• Loyalty points: Points restored
Notifies kitchen/restaurant
Removes order from kitchen queue
Sends cancellation confirmation (Email/SMS)
Success message: Order cancelled. Refund processed - 3-5 business days.
Order visible in history with Cancelled status

Effects on Other Actors
Vendor:
• Kitchen receives cancellation notification
• Order removed from queue

System:
• Processes refunds
• Updates order status

Failure States
• Too late to cancel (Preparing) → Show policy → Contact restaurant
• Refund fails → Retry → Manual processing
• Late cancellation fee → Charge according to policy",CE-007,"action:TAV-CUS-ORD-004,customer,tracking",Medium
CS-069,Story,TAV-CUS-ORD-005 Customer rates order after completion,"Implements Action Story TAV-CUS-ORD-005.

Trigger
Order completed and delivered/received

Immediate UI Reaction
Quick rating request sent via SMS/push notification

System Action
System sends: How was your order? Rate your experience
Customer taps notification
Quick rating modal opens
Simple rating options: Thumbs up/down OR 1-5 stars
Customer selects rating (e.g., 5 stars)
Optional feedback tags: Great food, Fast service, Friendly staff, Clean restaurant
Customer selects applicable tags
Submits rating
System saves order rating
Awards loyalty points (25 points)
Thank you message: Thanks for your feedback! You earned 25 points.
Prompts for detailed review: Want to share more? Write a full review for 50 more points
Customer can write full review now OR dismiss
Rating visible to vendor in dashboard
Aggregate rating affects restaurant score

Effects on Other Actors
Vendor:
• Receives rating feedback
• Aggregate score updated

System:
• Records rating
• Awards loyalty points

Failure States
• Rating submission fails → Retry → Save locally and sync later",CE-007,"action:TAV-CUS-ORD-005,customer,tracking",Medium
CS-070,Story,TAV-CUS-ORD-006 Customer views order receipt and invoice,"Implements Action Story TAV-CUS-ORD-006.

Trigger
Customer selects completed order from order history

Immediate UI Reaction
Order detail page displayed

System Action
Shows View Receipt/Invoice button
Customer taps button
Retrieves invoice (generated at payment time)
Displays invoice on screen:
• Restaurant details
• Customer details
• Order items with prices
• Tax breakdown
• Total
• Payment method
• Order number, invoice number
• Date/time
Download invoice as PDF (Download PDF button)
System generates/retrieves PDF
Downloads to device
Share invoice (Share button → Email, WhatsApp, etc.)
Print invoice (Print button → Print dialog)
Invoice accessible anytime from order history
Meets Austrian VAT compliance requirements

Failure States
• Invoice retrieval fails → Retry → Contact support for manual invoice",CE-007,"action:TAV-CUS-ORD-006,customer,tracking",Medium
CS-071,Story,TAV-CUS-ORD-007 Customer re-orders from past order,"Implements Action Story TAV-CUS-ORD-007.

Trigger
Customer browses order history and taps Reorder button

Immediate UI Reaction
Reorder process initiated

System Action
Retrieves complete order details: All items with sizes, modifications, special instructions
Creates new basket from past order
Adds all items to current basket
Validates items:
• Still available on menu
• Still offered by restaurant
• Prices may have changed
All items valid:
• Adds all to basket
• Success message: X items added to basket from past order
Some items invalid:
• Adds valid items
• Warning: 2 items added. 1 item no longer available: Seasonal Special
Navigates to basket
Customer reviews reordered items
Prices updated to current (shows changes: was €10.00, now €12.00)
Customer can modify quantities, remove items, add more
Proceeds to checkout
Completes new order

Effects on Other Actors
System:
• Validates items against current menu
• Creates new order (not duplicate)

Failure States
• All items unavailable → Show message → Browse menu
• Price significantly changed → Require confirmation",CE-007,"action:TAV-CUS-ORD-007,customer,tracking",Medium
CS-072,Story,TAV-CUS-ORD-008 Customer contacts restaurant about order,"Implements Action Story TAV-CUS-ORD-008.

Trigger
Customer has question/issue about order

Immediate UI Reaction
Contact Restaurant button visible on order detail

System Action
Customer taps Contact Restaurant
Contact options modal displays:
• Call restaurant: Phone with click-to-call
• Message restaurant: In-app messaging if enabled
• Email restaurant: Email with pre-filled template
• Help & Support: TAVLO support for platform issues
Customer selects contact method:
Call: Initiates phone call
Message: Opens chat interface with order context pre-loaded
Email: Opens email with order details pre-filled (Order #12345, Table 5, Issue: ...)
Customer communicates issue/question
Call: Direct conversation
Message: Real-time chat with restaurant
Email: Sends email → Restaurant receives notification
Restaurant responds
Customer receives response
Issue resolved
System logs contact event with order

Effects on Other Actors
Vendor:
• Receives customer contact
• Can respond and resolve issues

System:
• Logs all customer-restaurant contacts
• Tracks resolution

Failure States
• Contact method unavailable → Try alternative → Escalate to TAVLO support",CE-007,"action:TAV-CUS-ORD-008,customer,tracking",Low
CS-073,Story,TAV-CUS-ORD-009 Customer receives order ready notification,"Implements Action Story TAV-CUS-ORD-009.

Trigger
Kitchen completes order preparation

Immediate UI Reaction
Notification sent to customer immediately

System Action
Waiter/Kitchen staff updates order status to Ready in vendor dashboard
System detects status change
Sends immediate notification <5 seconds:
• Push notification: Your order is ready! Table 5
• SMS: Your takeaway order #12345 is ready for pickup
Customer device receives notification
Notification content differs:
• Dine-in: Your order is ready and will be served shortly
• Takeaway: Your order is ready for pickup. Please come to the counter
Customer views order status screen
Status updated to Ready with timestamp
Estimated delivery time shown:
• Dine-in: Arriving at your table in 2 minutes
• Takeaway: Ready for pickup now
Customer waits for delivery (dine-in) OR goes to pickup counter (takeaway)
Order delivered/picked up
Customer receives food

Effects on Other Actors
Vendor:
• Waiter/kitchen marks order ready
• Notifies customer automatically

System:
• Sends multi-channel notifications
• Updates order status

Failure States
• Notification fails → Retry via alternative channel → Manual notification
• Wrong status → Vendor corrects → Update sent",CE-007,"action:TAV-CUS-ORD-009,customer,tracking",High
CS-074,Story,TAV-CUS-REV-001 Customer writes review,"Implements Action Story TAV-CUS-REV-001.

Trigger
Order completed (24h later review request sent)

Immediate UI Reaction
Review request received via Email/SMS: How was your meal? Rate your dishes

System Action
Customer taps review link OR accesses from Order History → Write Review
Review form displayed
Select dish to review (e.g., Margherita Pizza)
Star rating (1-5 stars): Customer taps 5 stars
Visual feedback shown
Write review text field: Absolutely delicious! Best pizza in Vienna...
Text validation: Min 10, max 1000 characters
Character counter: 85/1000
Optional: Upload photos (Add Photos - max 5)
Select from gallery
Photo validation: JPG/PNG, max 5MB each
Display thumbnails with remove option
Submit Review
Validates completion (rating + text required)
Submits to backend
Creates review record: Customer ID, Dish ID, Rating, Text, Photos, Timestamp
Success message: Thank you for your review!
Awards loyalty points (50 points)
Review appears on dish page
AI updates review summary

Effects on Other Actors
Vendor:
• Receives review notification
• Review visible on dish page

System:
• Stores review
• Awards loyalty points
• Regenerates AI summary

Failure States
• Incomplete review → Validation error → Complete required fields
• Photo upload fails → Resize/compress → Retry
• Submission fails → Save draft → Retry later",CE-008,"action:TAV-CUS-REV-001,customer,reviews",Medium
CS-075,Story,TAV-CUS-REV-002 Customer edits review,"Implements Action Story TAV-CUS-REV-002.

Trigger
Customer finds their review in Order History

Immediate UI Reaction
Edit Review button visible on own reviews

System Action
Customer taps Edit Review
Form pre-filled with existing data: Rating, text, photos
Customer makes changes:
• Rating: 5 → 4 stars
• Text: Adds additional feedback
• Photos: Removes one, adds new one
Taps Update Review
Validates changes
Updates review record in database
Marks as edited with timestamp
Success message: Review updated successfully
Updated review appears on dish page with Edited label
AI regenerates review summary

Effects on Other Actors
Vendor:
• Sees updated review

System:
• Updates review record
• Tracks edit timestamp

Failure States
• Edit window expired (30 days) → Prevent edit → Contact support
• Validation fails → Show errors → Correct and retry",CE-008,"action:TAV-CUS-REV-002,customer,reviews",Low
CS-076,Story,TAV-CUS-REV-003 Customer deletes review,"Implements Action Story TAV-CUS-REV-003.

Trigger
Customer views their review

Immediate UI Reaction
Delete Review button visible

System Action
Customer taps Delete Review
Confirmation modal: Are you sure? This action cannot be undone. Delete | Cancel
Customer confirms deletion
Soft-deletes review (marks deleted, retains in database for auditing)
Removes from public dish page
Recalculates dish average rating (excludes deleted review)
Success message: Review deleted successfully
AI regenerates review summary
Customer no longer sees review in order history
Deletion event logged for auditing

Effects on Other Actors
Vendor:
• Review removed from public view
• Rating recalculated

System:
• Soft-deletes review
• Logs deletion event

Failure States
• Deletion fails → Retry → Contact support
• Accidental deletion → No undo → Contact support for recovery",CE-008,"action:TAV-CUS-REV-003,customer,reviews",Low
CS-077,Story,TAV-CUS-REV-004 Customer reports inappropriate review,"Implements Action Story TAV-CUS-REV-004.

Trigger
Customer finds inappropriate review while browsing

Immediate UI Reaction
Flag/Report icon visible on all reviews

System Action
Customer taps flag/report icon
Report modal opens
Select report reason:
• Spam
• Offensive/hateful language
• Fake/fraudulent review
• Unrelated content
• Personal information shared
• Other
Customer selects reason (e.g., Offensive language)
Optional: Add additional details text field
Submits report
System creates moderation ticket
Sends to moderation queue for admin review
Shows confirmation: Thank you for reporting. We'll review this within 24 hours.
Admin reviews report
Report valid:
• Remove/hide review
• Notify reviewer of violation
Report invalid:
• Keep review
• Notify reporting customer
Moderation decision logged
Customer can see moderation status: Report submitted OR Report resolved

Effects on Other Actors
Admin:
• Reviews reported content
• Takes moderation action

System:
• Creates moderation ticket
• Tracks resolution

Failure States
• Report submission fails → Retry → Save report for manual submission",CE-008,"action:TAV-CUS-REV-004,customer,reviews",Low
CS-078,Story,TAV-CUS-REV-005 Customer views restaurant overall reviews,"Implements Action Story TAV-CUS-REV-005.

Trigger
Customer navigates to restaurant profile

Immediate UI Reaction
Scrolls to Reviews section

System Action
Displays restaurant overall rating: 4.5 stars based on 234 reviews
Rating distribution with bar chart:
• 5 stars: 60%
• 4 stars: 25%
• 3 stars: 10%
• 2 stars: 3%
• 1 star: 2%
Aggregate AI review summary:
• Most praised: Authentic flavors, generous portions, friendly service
• Most criticized: Can be slow during peak hours, limited vegetarian options
Shows recent reviews (sorted by: most recent, most helpful, highest rating, lowest rating)
Each review displays:
• Reviewer name/photo
• Rating
• Review text
• Photos if any
• Date
• Helpful count
• Verified purchase badge
Customer can filter reviews:
• By rating: 5 stars only, 4+, etc.
• With photos only
• Verified purchases only
Infinite scroll/pagination
Customer can mark review as helpful (Helpful button → increment count)
Reads detailed reviews
Forms opinion about restaurant

Failure States
• Reviews fail to load → Show cached reviews → Retry
• Filter fails → Clear filters → Manual selection",CE-008,"action:TAV-CUS-REV-005,customer,reviews",Medium
